,Name,Score,Studios,Source,Ranked,Popularity,Completed
12388,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.81,Studio Gokumi,Light novel,808,4710,5502
12389,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,8.0,Studio Gokumi,Light novel,548,4691,5445
12390,Citrus,6.51,Passione,Manga,5848,398,197345
12391,Netsuzou TRap,5.37,Creators in Pack,Manga,9999,1271,57692
12393,Koro-sensei Quest!,7.1,Lerche,Manga,3199,2678,23636
12394,Mobile Suit Gundam Thunderbolt 2nd Season,7.28,Sunrise,Manga,2430,4025,10069
12395,One Room,5.57,Typhoon Graphics,Original,9501,1539,42375
12396,Room Mate,4.76,Typhoon Graphics,Original,10802,3626,9351
12397,Yuuki Yuuna wa Yuushabu Shozoku,6.49,W-Toon Studio,Manga,5941,7109,1509
12399,Love Kome: We Love Rice,4.64,Encourage Films,Original,10877,5015,3836
12400,Hajimete no Gal,6.31,NAZ,Manga,6827,412,224909
12404,Taishou Mebiusline: Chicchai-san,4.73,Studio A-CAT,Visual novel,10820,4821,3782
12405,Hashiri Hajimeta bakari no Kimi ni,6.63,"Xebec, Issen",Original,5237,8639,1391
12406,Nanbaka 2,7.51,Satelight,Web manga,1563,1473,64340
12410,Isekai Izakaya: Koto Aitheria no Izakaya Nobu,7.38,Sunrise,Light novel,2001,3312,11169
12411,Two Tea Two,5.14,Decovocal,Original,10440,14703,159
12416,Frame Arms Girl,6.42,"Zexcs, Studio A-CAT",Other,6302,3053,10507
12417,Overlord Movie 2: Shikkoku no Eiyuu,7.66,Madhouse,Light novel,1136,2269,25012
12418,Detective Conan Movie 21: The Crimson Love Letter,7.68,TMS Entertainment,Manga,1081,3631,15220
12421,Code Geass: Fukkatsu no Lelouch,7.97,Sunrise,Original,570,685,96591
12422,Code Geass: Hangyaku no Lelouch I - Koudou,7.94,Sunrise,Original,622,1829,35837
12423,Code Geass: Hangyaku no Lelouch II - Handou,7.68,Sunrise,Original,1073,2235,25205
12424,Code Geass: Hangyaku no Lelouch III - Oudou,8.04,Sunrise,Original,483,1945,30452
12425,Baki,7.21,TMS Entertainment,Manga,2730,852,113205
12426,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,7.65,Studio Gokumi,Original,1165,2972,14345
12427,Masou Gakuen HxH Specials,6.56,Production IMS,Light novel,5572,3321,14418
12428,The Reflection,5.14,Studio Deen,Original,10418,3157,5189
12430,Kekkai Sensen & Beyond,7.88,Bones,Manga,703,470,176812
12431,Uma Musume: Pretty Derby,6.52,P.A. Works,Game,5811,5764,3408
12437,Ao no Exorcist: Kyoto Fujouou-hen OVA,7.14,A-1 Pictures,Manga,3033,2120,28101
12438,Yami Shibai 4,5.73,ILCA,Original,9052,3616,14119
12439,Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu,6.83,OLM,Game,4308,9871,532
12441,Tsukipro The Animation,6.73,PRA,Music,4748,4385,3769
12444,Shokugeki no Souma: Ni no Sara OVA,7.53,J.C.Staff,Manga,1472,1220,88704
